station_name,station_code,lat,lon,name,code_str,nameEng
АБАГУР-ЛЕСН.,86430,53.7258606,87.25217438,Абагур-Лесной,864300,Abagur-Lesnoj
АБАКАН,88800,53.71445084,91.4404068,Абакан,888004,Abakan
АБАКУМОВКА,88940,55.79043961,96.18416595,Абакумовка (рзд),889401,Abakumovka (junction)
АБГАНЕРОВО,61240,48.13871765,44.11088943,Абганерово,612408,Abganerovo
АБДУЛИНО,65990,53.68287277,53.6450882,Абдулино,659902,Abdulino
АБИНСКАЯ,52350,44.88136673,38.14569473,Абинская,523505,Abinskaya
АБРАМОВКА,58360,51.1847496,41.01356888,Абрамовка,583600,Abramovka
АВСЮНИНО,23190,55.55976868,39.1146698,Авсюнино,231903,Avsyunino
АГРЫЗ,25490,56.52544022,53.01310349,Агрыз,254905,Agry'z
АДЛЕР,53280,43.44760132,39.90416336,Адлер,532805,Adler
АЗАРОВО,18860,54.56555176,36.24448013,Азарово,188601,Azarovo
АЗЕЙ,92220,54.51055527,100.759613,Азей,922205,Azej
АЗИАТСКАЯ,77290,58.35343933,59.52880859,Азиатская,772908,Aziatskaya
АЙДЫРЛЯ,81580,51.96708679,59.90472031,Айдырля,815802,Ajdy'rlya
АЙНАК,83730,53.18227768,78.47711182,Айнак,837303,Ajnak
АКСАРАЙСКАЯ2,61700,46.76303864,48.05610275,Аксарайская II,617007,Aksarajskaya II
АКТАШ,64800,54.99416733,52.11136246,Акташ,648005,Aktash
АКУЛОВО,18010,55.50283051,36.68915558,Акулово,180108,Akulovo
АКУР,96690,49.82169342,140.0911102,Акур (рзд),966909,Akur (junction)
АЛАПАЕВСК,78650,57.85652924,61.68516159,Алапаевск,786506,Alapaevsk
АЛАТЫРЬ,24760,54.84970093,46.57843018,Алатырь,247600,Alaty'r'
АЛБАБА,24910,55.61356354,48.33796692,Албаба,249108,Albaba
АЛБАШИ,51580,46.32697678,38.93723297,Албаши,515804,Albashi
АЛЕЙСКАЯ,84430,52.49533844,82.78889465,Алейская,844307,Alejskaya
АЛЕКСАНДР-НВ,60400,53.48003387,40.21119308,Александро-Невская,604007,Aleksandro-Nevskaya
АЛЕКСАНДРОВ,23700,56.3972435,38.7029686,Александров,237007,Aleksandrov
АЛЕКСАНДРОВС,03480,59.73113632,30.33872795,Александровская,034806,Aleksandrovskaya
АЛЕКСАНДРОВС,51550,46.65114594,38.40737534,Александровский(рзд),515509,Aleksandrovskij (junction)
АЛЕКСЕЕВКА,58140,50.61836243,38.66956711,Алексеевка,581407,Alekseevka
АЛЕКСЕЕВСКАЯ,65750,53.23580551,50.48682022,Алексеевская,657502,Alekseevskaya
АЛЕКСИКОВО,61290,50.97297668,42.35958481,Алексиково,612906,Aleksikovo
АЛЗАМАЙ,92070,55.55230331,98.66618347,Алзамай,920708,Alzamaj
АЛНАШИ,25510,56.11827469,52.56400681,Алнаши,255109,Alnashi
АЛОНКА,91690,51.36744308,132.443634,Алонка,916905,Alonka
АЛПАТОВО,53960,43.69576645,45.24530792,Алпатово,539607,Alpatovo
АЛПАТЬЕВО,23450,54.88019943,39.32637024,Алпатьево,234507,Alpat'evo
АЛТАЙСКАЯ,84000,53.39190674,83.93191528,Алтайская,840005,Altajskaya
АЛФЕРОВО,24320,55.50596619,41.21593857,Алферово,243205,Alferovo
АЛЬМЕЖ,27250,60.05600357,48.03697205,Альмеж,272509,Al'mezh
АЛЯБЬЕВО,77820,61.20269394,62.85441208,Алябьево,778209,Alyab'evo
АМАЗАР,95110,53.86232758,120.8771515,Амазар,951104,Amazar
АМЗЯ,25750,56.23932266,54.38171387,Амзя,257509,Amzya
АМУР,97030,48.53620529,135.0209351,Амур,970302,Amur
АНГАСОЛКА,93320,51.74838257,103.7562866,Ангасолка,933200,Angasolka
АНДРЕЕДМИТР.,53600,44.951828,40.84641266,Андреедмитриевка,536007,Andreedmitrievka
АНДРИАНОВИЧИ,77650,59.92317581,60.57472229,Андриановичи,776504,Andrianovichi
АНЖЕРСКАЯ,87590,56.07625198,86.04743958,Анжерская,875907,Anzherskaya
АНОСОВО,80640,55.19265747,59.60279846,Аносово,806409,Anosovo
АНТИПИХА,94230,51.98918533,113.5459442,Антипиха,942302,Antipixa
АНТРОПОВО,30630,58.40067673,43.00373459,Антропово,306300,Antropovo
АНТРОПШИНО,03240,59.64133835,30.4265461,Антропшино,032406,Antropshino
АППАРАТНАЯ,78080,56.87155533,60.67526627,Аппаратная,780800,Apparatnaya
АРАМИЛЬ,79440,56.71352768,60.94711685,Арамиль,794409,Aramil'
АРГА,95400,51.27639389,128.2430573,Арга,954009,Arga
АРГАЯШ,80310,55.48787689,60.87260056,Аргаяш,803101,Argayash
АРДАТОВ,24740,54.75941849,46.26792908,Ардатов,247403,Ardatov
АРДЫМ,60840,53.04679489,44.86517334,Ардым,608402,Ardy'm
АРЗАМАС 1,24560,55.40923691,43.7899704,Арзамас I,245605,Arzamas I
АРЗАМАС 2,24420,55.41731644,43.85144806,Арзамас II,244208,Arzamas II
АРКАДАК,60580,51.9380722,43.50258255,Аркадак,605809,Arkadak
АРЛЮК,87070,55.43095016,84.84246063,Арлюк,870706,Arlyuk
АРМАВИР-РОСТ,53020,44.99827576,41.12443542,Армавир-Ростовский,530208,Armavir-Rostovskij
АРМАВИР-ТУАП,53030,45.00151,41.08347,Армавир-Туапсинский,530301,Armavir-Tuapsinskij
АРМЯЗЬ,25650,56.41082001,53.93163681,Армязь,256506,Armyaz'
АРСАКИ,23680,56.38329315,38.45956802,Арсаки,236803,Arsaki
АРСК,25350,56.07670975,49.8879776,Арск,253508,Arsk
АРТ-ПРИМI,98240,43.38046265,132.1925507,Артем-Приморский I,982403,Artem-Primorskij I
АРТ-ПРИМIII,98260,43.37516022,132.2937012,Артем-Приморский III,982600,Artem-Primorskij III
АРТЕЗИАН,54190,44.95243454,46.6644516,Артезиан,541908,Artezian
АРТЕМ-ПРИМ 1,98240,43.38046265,132.1925507,Артем-Приморский I,982403,Artem-Primorskij I
АРТЕМ-ПРИМ 3,98260,43.37516022,132.2937012,Артем-Приморский III,982600,Artem-Primorskij III
АРТЫШТА 2,86270,54.11439133,86.25637817,Артышта II,862701,Arty'shta II
АРХАРА,96060,49.42060089,130.0751038,Архара,960601,Arxara
АРЧЕДА,61380,49.76491547,43.65508652,Арчеда,613805,Archeda
АРЬЯ,26670,57.49328232,45.96229172,Арья,266705,Ar'ya
АСБЕСТ,79380,57.00511169,61.51258469,Асбест,793800,Asbest
АСЕЕВСКАЯ,63450,53.10838318,45.68960571,Асеевская,634500,Aseevskaya
АСИНО,87510,56.99649811,86.1576004,Асино,875108,Asino
АСКИЗ,88700,53.13391876,90.41248322,Аскиз,887001,Askiz
АСТРАХАНЬ 2,61690,46.40552521,48.07315826,Астрахань II,616907,Astraxan' II
АТАМАНОВКА,94250,51.92856979,113.6318893,Атамановка,942506,Atamanovka
АТКАРСК,60880,51.87757111,45.01044464,Аткарск,608807,Atkarsk
АТЯШЕВО,24730,54.58422089,46.08390427,Атяшево,247309,Atyashevo
АУР,96330,48.62509537,133.4307098,Аур,963309,Aur
АФИПСКАЯ,52400,44.89096069,38.8338089,Афипская,524000,Afipskaya
АХТАРИ,51630,46.03996658,38.17035675,Ахтари,516304,Axtari
АХТУБА,61620,48.27590561,46.19646835,Ахтуба,616201,Axtuba
АХТЫРСКАЯ,52360,44.87055588,38.33935928,Ахтырская,523609,Axty'rskaya
АЧИНСК 1,88000,56.30447,90.517401,Ачинск I,880002,Achinsk I
АША,65590,54.99598312,57.26684189,Аша,655901,Asha
АШУЛУК,61780,47.31969452,47.40312195,Ашулук,617806,Ashuluk
АЯТЬ,77140,57.0384903,60.22237015,Аять,771407,Ayat'
БАБАЕВО,04640,59.3858757,35.94868088,Бабаево,046409,Babaevo
БАБАРЫКИНО,59350,52.94877243,38.23939133,Бабарыкино,593508,Babary'kino
БАБЫНИНО,18460,54.38779068,35.73899841,Бабынино,184609,Baby'nino
БАГАЕВКА,62080,51.44886398,45.84470749,Багаевка,620809,Bagaevka
БАГУЛЬНАЯ,92450,56.12434387,101.4477081,Багульная,924501,Bagul'naya
БАДА,94070,51.38755798,109.86306,Бада,940701,Bada
БАЖЕНОВО,79350,56.73057556,61.37148285,Баженово,793503,Bazhenovo
БАЙКАЛЬСК,93380,51.5003624,104.2263413,Байкальск,933801,Bajkal'sk
БАЙРОНОВКА,92040,55.7929039,98.18618011,Байроновка,920407,Bajronovka
БАЙТУК,81590,52.08283997,60.03192902,Байтук,815906,Bajtuk
БАЙЧУРОВО,60510,51.34342575,42.68407059,Байчурово,605103,Bajchurovo
БАКАНСКАЯ,52150,44.86942673,37.86140823,Баканская,521503,Bakanskaya
БАЛАБАНОВО,18360,55.17889404,36.66242981,Балабаново,183606,Balabanovo
БАЛАКИРЕВО,31330,56.50754547,38.8502388,Балакирево,313304,Balakirevo
БАЛАКОВО,62510,52.00277328,47.78843689,Балаково,625107,Balakovo
БАЛАНДИНО,80190,55.2977066,61.5490799,Баландино,801903,Balandino
БАЛАШЕЙКА,64310,53.28352356,48.09122849,Балашейка,643105,Balashejka
БАЛАШОВ 1,60530,51.5350647,43.15999985,Балашов I,605300,Balashov I
БАЛАШОВ-ПАС,60540,51.54540634,43.12805557,Балашов-Пассажирский,605404,Balashov-Passazhirskij
БАЛЕЗИНО,27580,57.97437286,53.00515747,Балезино,275808,Balezino
